"subject" "Activity_Label" "variable" "value"
1 "LAYING" "FrequencyBodyAccMagMean" -0.8617676481
1 "LAYING" "FrequencyBodyAccMagStdDev" -0.7983009404
1 "LAYING" "FrequencyBodyAccJerkMagMean" -0.9333003608
1 "LAYING" "FrequencyBodyAccJerkMagStdDev" -0.9218039756
1 "LAYING" "FrequencyBodyGyroMagMean" -0.8621901854
1 "LAYING" "FrequencyBodyGyroMagStdDev" -0.82431943968
1 "LAYING" "FrequencyBodyGyroJerkMagMean" -0.9423669466
1 "LAYING" "FrequencyBodyGyroJerkMagStdDev" -0.9326606676
1 "SITTING" "FrequencyBodyAccMagMean" -0.947782922553192
1 "SITTING" "FrequencyBodyAccMagStdDev" -0.928444801702128
1 "SITTING" "FrequencyBodyAccJerkMagMean" -0.985262126808511
1 "SITTING" "FrequencyBodyAccJerkMagStdDev" -0.981606177446808
1 "SITTING" "FrequencyBodyGyroMagMean" -0.958435589361702
1 "SITTING" "FrequencyBodyGyroMagStdDev" -0.932198374893617
1 "SITTING" "FrequencyBodyGyroJerkMagMean" -0.989797547234043
1 "SITTING" "FrequencyBodyGyroJerkMagStdDev" -0.987049617234043
1 "STANDING" "FrequencyBodyAccMagMean" -0.985356361132075
1 "STANDING" "FrequencyBodyAccMagStdDev" -0.982313804716981
1 "STANDING" "FrequencyBodyAccJerkMagMean" -0.99254247754717
1 "STANDING" "FrequencyBodyAccJerkMagStdDev" -0.992536003396226
1 "STANDING" "FrequencyBodyGyroMagMean" -0.984617623396226
1 "STANDING" "FrequencyBodyGyroMagStdDev" -0.978466072075472
1 "STANDING" "FrequencyBodyGyroJerkMagMean" -0.994815376981132
1 "STANDING" "FrequencyBodyGyroJerkMagStdDev" -0.994671123207547
1 "WALKING" "FrequencyBodyAccMagMean" -0.128623450629474
1 "WALKING" "FrequencyBodyAccMagStdDev" -0.398032586842105
1 "WALKING" "FrequencyBodyAccJerkMagMean" -0.0571194000343158
1 "WALKING" "FrequencyBodyAccJerkMagStdDev" -0.103492403002105
1 "WALKING" "FrequencyBodyGyroMagMean" -0.199252568986316
1 "WALKING" "FrequencyBodyGyroMagStdDev" -0.321017953894737
1 "WALKING" "FrequencyBodyGyroJerkMagMean" -0.319308593778947
1 "WALKING" "FrequencyBodyGyroJerkMagStdDev" -0.381601911789474
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccMagMean" 0.0965845343040816
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccMagStdDev" -0.186530301073469
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccJerkMagMean" 0.0262184949326531
1 "WALKING_DOWNSTAIRS" "FrequencyBodyAccJerkMagStdDev" -0.104052260726531
1 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroMagMean" -0.185720285744898
1 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroMagStdDev" -0.398350390122449
1 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroJerkMagMean" -0.281963359177551
1 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroJerkMagStdDev" -0.391919876612245
1 "WALKING_UPSTAIRS" "FrequencyBodyAccMagMean" -0.352395944716981
1 "WALKING_UPSTAIRS" "FrequencyBodyAccMagStdDev" -0.416260101509434
1 "WALKING_UPSTAIRS" "FrequencyBodyAccJerkMagMean" -0.44265216245283
1 "WALKING_UPSTAIRS" "FrequencyBodyAccJerkMagStdDev" -0.533059853773585
1 "WALKING_UPSTAIRS" "FrequencyBodyGyroMagMean" -0.325961457396226
1 "WALKING_UPSTAIRS" "FrequencyBodyGyroMagStdDev" -0.182985518264151
1 "WALKING_UPSTAIRS" "FrequencyBodyGyroJerkMagMean" -0.634665082075472
1 "WALKING_UPSTAIRS" "FrequencyBodyGyroJerkMagStdDev" -0.693930521509434
2 "LAYING" "FrequencyBodyAccMagMean" -0.975110196458333
2 "LAYING" "FrequencyBodyAccMagStdDev" -0.975121387916667
2 "LAYING" "FrequencyBodyAccJerkMagMean" -0.985374114791667
2 "LAYING" "FrequencyBodyAccJerkMagStdDev" -0.984568489166667
2 "LAYING" "FrequencyBodyGyroMagMean" -0.972112972708333
2 "LAYING" "FrequencyBodyGyroMagStdDev" -0.96109837875
2 "LAYING" "FrequencyBodyGyroJerkMagMean" -0.990248702291667
2 "LAYING" "FrequencyBodyGyroJerkMagStdDev" -0.989492660416667
2 "SITTING" "FrequencyBodyAccMagMean" -0.96127374826087
2 "SITTING" "FrequencyBodyAccMagStdDev" -0.955575602173913
2 "SITTING" "FrequencyBodyAccJerkMagMean" -0.983874698913043
2 "SITTING" "FrequencyBodyAccJerkMagStdDev" -0.984124185869565
2 "SITTING" "FrequencyBodyGyroMagMean" -0.971840596086956
2 "SITTING" "FrequencyBodyGyroMagStdDev" -0.961385745217391
2 "SITTING" "FrequencyBodyGyroJerkMagMean" -0.989861950869565
2 "SITTING" "FrequencyBodyGyroJerkMagStdDev" -0.989632908913043
2 "STANDING" "FrequencyBodyAccMagMean" -0.964052166481482
2 "STANDING" "FrequencyBodyAccMagStdDev" -0.960519381481482
2 "STANDING" "FrequencyBodyAccJerkMagMean" -0.977065295555556
2 "STANDING" "FrequencyBodyAccJerkMagStdDev" -0.97516046
2 "STANDING" "FrequencyBodyGyroMagMean" -0.961775904814815
2 "STANDING" "FrequencyBodyGyroMagStdDev" -0.956788725740741
2 "STANDING" "FrequencyBodyGyroJerkMagMean" -0.977849827407407
2 "STANDING" "FrequencyBodyGyroJerkMagStdDev" -0.977754298148148
2 "WALKING" "FrequencyBodyAccMagMean" -0.324289427932203
2 "WALKING" "FrequencyBodyAccMagStdDev" -0.577105211694915
2 "WALKING" "FrequencyBodyAccJerkMagMean" -0.169064352813559
2 "WALKING" "FrequencyBodyAccJerkMagStdDev" -0.164091969449153
2 "WALKING" "FrequencyBodyGyroMagMean" -0.530704814745763
2 "WALKING" "FrequencyBodyGyroMagStdDev" -0.651792839661017
2 "WALKING" "FrequencyBodyGyroJerkMagMean" -0.583249293389831
2 "WALKING" "FrequencyBodyGyroJerkMagStdDev" -0.558104554745763
